Timestamp,Frame,Class,Confidence,People Count
2025-10-22 22:33:35,11,person,0.76,2
2025-10-22 22:33:35,11,person,0.57,3
2025-10-22 22:33:35,11,person,0.56,4
2025-10-22 22:33:35,11,motorcycle,0.55,4
2025-10-22 22:33:35,11,person,0.55,5
2025-10-22 22:33:35,11,motorcycle,0.52,5
2025-10-22 22:33:35,11,person,0.48,6
2025-10-22 22:33:35,11,person,0.47,7
2025-10-22 22:33:35,11,person,0.45,8
2025-10-22 22:33:35,11,motorcycle,0.44,8
2025-10-22 22:33:35,12,person,0.82,1
2025-10-22 22:33:35,12,person,0.77,2
2025-10-22 22:33:35,12,person,0.61,3
2025-10-22 22:33:35,12,person,0.57,4
2025-10-22 22:33:35,12,person,0.53,5
2025-10-22 22:33:35,12,motorcycle,0.50,5
2025-10-22 22:33:35,12,person,0.49,6
2025-10-22 22:33:35,12,person,0.46,7
2025-10-22 22:33:35,12,person,0.45,8
2025-10-22 22:33:35,13,person,0.81,1
2025-10-22 22:33:35,13,person,0.77,2
2025-10-22 22:33:35,13,person,0.61,3
2025-10-22 22:33:35,13,person,0.60,4
2025-10-22 22:33:35,13,motorcycle,0.59,4
2025-10-22 22:33:35,13,motorcycle,0.54,4
2025-10-22 22:33:35,13,person,0.50,5
2025-10-22 22:33:35,13,person,0.49,6
2025-10-22 22:33:35,13,person,0.44,7
2025-10-22 22:33:35,13,person,0.44,8
2025-10-22 22:33:35,13,truck,0.42,8
2025-10-22 22:33:35,14,person,0.82,1
2025-10-22 22:33:35,14,person,0.78,2
2025-10-22 22:33:35,14,person,0.65,3
2025-10-22 22:33:35,14,motorcycle,0.63,3
2025-10-22 22:33:35,14,person,0.60,4
2025-10-22 22:33:35,14,person,0.52,5
2025-10-22 22:33:35,14,person,0.49,6
2025-10-22 22:33:35,14,person,0.48,7
2025-10-22 22:33:35,14,motorcycle,0.47,7
2025-10-22 22:33:35,14,person,0.44,8
2025-10-22 22:33:35,15,person,0.82,1
2025-10-22 22:33:35,15,person,0.79,2
2025-10-22 22:33:35,15,person,0.63,3
2025-10-22 22:33:35,15,person,0.61,4
2025-10-22 22:33:35,15,person,0.60,5
2025-10-22 22:33:35,15,person,0.57,6
2025-10-22 22:33:35,15,motorcycle,0.49,6
2025-10-22 22:33:35,15,person,0.48,7
2025-10-22 22:33:35,15,person,0.41,8
2025-10-22 22:33:36,16,person,0.82,1
2025-10-22 22:33:36,16,person,0.78,2
2025-10-22 22:33:36,16,person,0.62,3
2025-10-22 22:33:36,16,person,0.61,4
2025-10-22 22:33:36,16,person,0.60,5
2025-10-22 22:33:36,16,person,0.60,6
2025-10-22 22:33:36,16,motorcycle,0.53,6
2025-10-22 22:33:36,16,motorcycle,0.46,6
2025-10-22 22:33:36,16,person,0.41,7
2025-10-22 22:33:36,16,person,0.40,8
2025-10-22 22:33:36,17,person,0.82,1
2025-10-22 22:33:36,17,person,0.78,2
2025-10-22 22:33:36,17,motorcycle,0.72,2
2025-10-22 22:33:36,17,person,0.65,3
2025-10-22 22:33:36,17,person,0.63,4
2025-10-22 22:33:36,17,person,0.60,5
2025-10-22 22:33:36,17,motorcycle,0.58,5
2025-10-22 22:33:36,17,person,0.57,6
2025-10-22 22:33:36,17,person,0.50,7
2025-10-22 22:33:36,17,person,0.45,8
2025-10-22 22:33:36,17,person,0.41,9
2025-10-22 22:33:36,18,person,0.82,1
2025-10-22 22:33:36,18,person,0.77,2
2025-10-22 22:33:36,18,motorcycle,0.70,2
2025-10-22 22:33:36,18,person,0.65,3
2025-10-22 22:33:36,18,person,0.57,4
2025-10-22 22:33:36,18,person,0.52,5
2025-10-22 22:33:36,18,person,0.51,6
2025-10-22 22:33:36,18,person,0.51,7
2025-10-22 22:33:36,18,person,0.45,8
2025-10-22 22:33:36,18,motorcycle,0.45,8
2025-10-22 22:33:36,18,truck,0.42,8
2025-10-22 22:33:36,19,person,0.82,1
2025-10-22 22:33:36,19,person,0.75,2
2025-10-22 22:33:36,19,person,0.67,3
2025-10-22 22:33:36,19,person,0.54,4
2025-10-22 22:33:36,19,person,0.54,5
2025-10-22 22:33:36,19,person,0.53,6
2025-10-22 22:33:36,19,person,0.52,7
2025-10-22 22:33:36,19,motorcycle,0.51,7
2025-10-22 22:33:36,19,person,0.50,8
2025-10-22 22:33:36,19,motorcycle,0.44,8
2025-10-22 22:33:36,19,person,0.40,9
2025-10-22 22:33:36,20,person,0.82,1
2025-10-22 22:33:36,20,person,0.75,2
2025-10-22 22:33:36,20,person,0.65,3
2025-10-22 22:33:36,20,person,0.56,4
2025-10-22 22:33:36,20,person,0.56,5
2025-10-22 22:33:36,20,motorcycle,0.55,5
2025-10-22 22:33:36,20,person,0.50,6
2025-10-22 22:33:36,20,person,0.49,7
2025-10-22 22:33:36,20,person,0.48,8
2025-10-22 22:33:36,21,person,0.81,1
2025-10-22 22:33:36,21,person,0.73,2
2025-10-22 22:33:36,21,motorcycle,0.65,2
2025-10-22 22:33:36,21,person,0.64,3
2025-10-22 22:33:36,21,person,0.61,4
2025-10-22 22:33:36,21,person,0.52,5
2025-10-22 22:33:36,21,person,0.48,6
2025-10-22 22:33:36,21,person,0.47,7
2025-10-22 22:33:36,21,motorcycle,0.41,7
2025-10-22 22:33:36,22,person,0.82,1
2025-10-22 22:33:36,22,person,0.77,2
2025-10-22 22:33:36,22,person,0.63,3
2025-10-22 22:33:36,22,person,0.52,4
2025-10-22 22:33:36,22,person,0.48,5
2025-10-22 22:33:36,22,person,0.48,6
2025-10-22 22:33:36,22,person,0.46,7
2025-10-22 22:33:36,22,motorcycle,0.40,7
2025-10-22 22:33:37,23,person,0.82,1
2025-10-22 22:33:37,23,person,0.77,2
2025-10-22 22:33:37,23,person,0.60,3
2025-10-22 22:33:37,23,person,0.53,4
2025-10-22 22:33:37,23,motorcycle,0.52,4
2025-10-22 22:33:37,23,person,0.48,5
2025-10-22 22:33:37,23,motorcycle,0.45,5
2025-10-22 22:33:37,23,person,0.45,6
2025-10-22 22:33:37,23,person,0.44,7
2025-10-22 22:33:37,24,person,0.83,1
2025-10-22 22:33:37,24,person,0.69,2
2025-10-22 22:33:37,24,person,0.61,3
2025-10-22 22:33:37,24,person,0.58,4
2025-10-22 22:33:37,24,motorcycle,0.53,4
2025-10-22 22:33:37,24,person,0.43,5
2025-10-22 22:33:37,24,person,0.42,6
2025-10-22 22:33:37,25,person,0.82,1
2025-10-22 22:33:37,25,motorcycle,0.72,1
2025-10-22 22:33:37,25,person,0.61,2
2025-10-22 22:33:37,25,person,0.58,3
2025-10-22 22:33:37,25,person,0.49,4
2025-10-22 22:33:37,25,person,0.48,5
2025-10-22 22:33:37,25,person,0.46,6
2025-10-22 22:33:37,25,person,0.45,7
2025-10-22 22:33:37,25,bicycle,0.43,7
2025-10-22 22:33:37,25,person,0.43,8
2025-10-22 22:33:37,26,person,0.84,1
2025-10-22 22:33:37,26,motorcycle,0.74,1
2025-10-22 22:33:37,26,person,0.59,2
2025-10-22 22:33:37,26,person,0.54,3
2025-10-22 22:33:37,26,person,0.49,4
2025-10-22 22:33:37,26,person,0.43,5
2025-10-22 22:33:37,26,person,0.43,6
2025-10-22 22:33:37,26,person,0.43,7
2025-10-22 22:33:37,26,truck,0.42,7
2025-10-22 22:33:37,26,person,0.42,8
2025-10-22 22:33:37,26,person,0.42,9
2025-10-22 22:33:37,26,person,0.41,10
2025-10-22 22:33:37,27,person,0.84,1
2025-10-22 22:33:37,27,person,0.64,2
2025-10-22 22:33:37,27,person,0.55,3
2025-10-22 22:33:37,27,motorcycle,0.55,3
2025-10-22 22:33:37,27,person,0.55,4
2025-10-22 22:33:37,27,person,0.49,5
2025-10-22 22:33:37,27,person,0.43,6
2025-10-22 22:33:37,27,person,0.41,7
2025-10-22 22:33:37,27,person,0.40,8
2025-10-22 22:33:37,28,person,0.84,1
2025-10-22 22:33:37,28,person,0.62,2
2025-10-22 22:33:37,28,person,0.59,3
2025-10-22 22:33:37,28,motorcycle,0.54,3
2025-10-22 22:33:37,28,person,0.52,4
2025-10-22 22:33:37,28,person,0.49,5
2025-10-22 22:33:37,28,motorcycle,0.48,5
2025-10-22 22:33:37,28,person,0.45,6
2025-10-22 22:33:37,28,person,0.44,7
2025-10-22 22:33:37,28,person,0.42,8
2025-10-22 22:33:37,28,person,0.40,9
2025-10-22 22:33:37,29,person,0.83,1
2025-10-22 22:33:37,29,motorcycle,0.69,1
2025-10-22 22:33:37,29,person,0.63,2
2025-10-22 22:33:37,29,person,0.58,3
2025-10-22 22:33:37,29,person,0.52,4
2025-10-22 22:33:37,29,motorcycle,0.48,4
2025-10-22 22:33:37,29,person,0.47,5
2025-10-22 22:33:37,29,person,0.44,6
2025-10-22 22:33:37,29,person,0.44,7
2025-10-22 22:33:37,29,person,0.41,8
2025-10-22 22:33:37,29,person,0.41,9
2025-10-22 22:33:37,30,person,0.81,1
2025-10-22 22:33:37,30,person,0.67,2
2025-10-22 22:33:37,30,person,0.60,3
2025-10-22 22:33:37,30,person,0.56,4
2025-10-22 22:33:37,30,person,0.48,5
2025-10-22 22:33:37,30,person,0.43,6
2025-10-22 22:33:37,30,motorcycle,0.42,6
2025-10-22 22:33:37,30,person,0.42,7
2025-10-22 22:33:37,30,motorcycle,0.41,7
2025-10-22 22:33:38,31,person,0.81,1
2025-10-22 22:33:38,31,person,0.71,2
2025-10-22 22:33:38,31,motorcycle,0.60,2
2025-10-22 22:33:38,31,person,0.59,3
2025-10-22 22:33:38,31,person,0.55,4
2025-10-22 22:33:38,31,person,0.51,5
2025-10-22 22:33:38,31,person,0.51,6
2025-10-22 22:33:38,31,person,0.51,7
2025-10-22 22:33:38,31,person,0.47,8
2025-10-22 22:33:38,31,bicycle,0.44,8
2025-10-22 22:33:38,32,person,0.80,1
2025-10-22 22:33:38,32,person,0.69,2
2025-10-22 22:33:38,32,person,0.64,3
2025-10-22 22:33:38,32,motorcycle,0.62,3
2025-10-22 22:33:38,32,person,0.54,4
2025-10-22 22:33:38,32,person,0.52,5
2025-10-22 22:33:38,32,motorcycle,0.48,5
2025-10-22 22:33:38,32,person,0.48,6
2025-10-22 22:33:38,32,person,0.41,7
2025-10-22 22:33:38,33,person,0.81,1
2025-10-22 22:33:38,33,person,0.65,2
2025-10-22 22:33:38,33,person,0.63,3
2025-10-22 22:33:38,33,motorcycle,0.63,3
2025-10-22 22:33:38,33,person,0.57,4
2025-10-22 22:33:38,33,person,0.56,5
2025-10-22 22:33:38,33,person,0.51,6
2025-10-22 22:33:38,33,person,0.47,7
2025-10-22 22:33:38,33,person,0.40,8
2025-10-22 22:33:38,34,person,0.83,1
2025-10-22 22:33:38,34,person,0.66,2
2025-10-22 22:33:38,34,person,0.63,3
2025-10-22 22:33:38,34,person,0.61,4
2025-10-22 22:33:38,34,motorcycle,0.61,4
2025-10-22 22:33:38,34,motorcycle,0.56,4
2025-10-22 22:33:38,34,person,0.54,5
2025-10-22 22:33:38,34,person,0.51,6
2025-10-22 22:33:38,34,person,0.49,7
2025-10-22 22:33:38,34,person,0.45,8
2025-10-22 22:33:38,34,person,0.41,9
2025-10-22 22:33:38,35,person,0.83,1
2025-10-22 22:33:38,35,motorcycle,0.73,1
2025-10-22 22:33:38,35,person,0.66,2
2025-10-22 22:33:38,35,motorcycle,0.60,2
2025-10-22 22:33:38,35,person,0.59,3
2025-10-22 22:33:38,35,person,0.56,4
2025-10-22 22:33:38,35,person,0.50,5
2025-10-22 22:33:38,35,person,0.49,6
2025-10-22 22:33:38,35,person,0.47,7
2025-10-22 22:33:38,35,person,0.40,8
2025-10-22 22:33:38,35,person,0.40,9
2025-10-22 22:33:38,36,person,0.83,1
2025-10-22 22:33:38,36,motorcycle,0.64,1
2025-10-22 22:33:38,36,person,0.61,2
2025-10-22 22:33:38,36,person,0.56,3
2025-10-22 22:33:38,36,motorcycle,0.55,3
2025-10-22 22:33:38,36,person,0.51,4
2025-10-22 22:33:38,36,person,0.47,5
2025-10-22 22:33:38,36,person,0.47,6
2025-10-22 22:33:38,36,person,0.46,7
2025-10-22 22:33:38,36,person,0.40,8
2025-10-22 22:33:38,37,person,0.82,1
2025-10-22 22:33:38,37,person,0.69,2
2025-10-22 22:33:38,37,person,0.66,3
2025-10-22 22:33:38,37,motorcycle,0.64,3
2025-10-22 22:33:38,37,motorcycle,0.58,3
2025-10-22 22:33:38,37,person,0.57,4
2025-10-22 22:33:38,37,person,0.52,5
2025-10-22 22:33:38,37,person,0.47,6
2025-10-22 22:33:38,37,person,0.46,7
2025-10-22 22:33:38,37,person,0.43,8
2025-10-22 22:33:38,37,person,0.41,9
2025-10-22 22:33:39,38,person,0.81,1
2025-10-22 22:33:39,38,person,0.66,2
2025-10-22 22:33:39,38,motorcycle,0.65,2
2025-10-22 22:33:39,38,person,0.64,3
2025-10-22 22:33:39,38,motorcycle,0.63,3
2025-10-22 22:33:39,38,person,0.53,4
2025-10-22 22:33:39,38,person,0.49,5
2025-10-22 22:33:39,38,person,0.48,6
2025-10-22 22:33:39,38,person,0.44,7
2025-10-22 22:33:39,38,person,0.43,8
2025-10-22 22:33:39,38,person,0.41,9
2025-10-22 22:33:39,39,person,0.83,1
2025-10-22 22:33:39,39,motorcycle,0.72,1
2025-10-22 22:33:39,39,person,0.68,2
2025-10-22 22:33:39,39,person,0.59,3
2025-10-22 22:33:39,39,motorcycle,0.55,3
2025-10-22 22:33:39,39,person,0.52,4
2025-10-22 22:33:39,39,person,0.49,5
2025-10-22 22:33:39,39,person,0.46,6
2025-10-22 22:33:39,39,person,0.46,7
2025-10-22 22:33:39,39,person,0.45,8
2025-10-22 22:33:39,39,person,0.41,9
2025-10-22 22:33:39,39,handbag,0.41,9
2025-10-22 22:33:39,40,person,0.82,1
2025-10-22 22:33:39,40,person,0.69,2
2025-10-22 22:33:39,40,motorcycle,0.68,2
2025-10-22 22:33:39,40,motorcycle,0.63,2
2025-10-22 22:33:39,40,person,0.58,3
2025-10-22 22:33:39,40,person,0.54,4
2025-10-22 22:33:39,40,person,0.51,5
2025-10-22 22:33:39,40,person,0.46,6
2025-10-22 22:33:39,40,person,0.46,7
2025-10-22 22:33:39,40,person,0.44,8
2025-10-22 22:33:39,40,person,0.44,9
2025-10-22 22:33:39,40,handbag,0.40,9
2025-10-22 22:33:39,41,person,0.83,1
2025-10-22 22:33:39,41,motorcycle,0.73,1
2025-10-22 22:33:39,41,person,0.69,2
2025-10-22 22:33:39,41,person,0.58,3
2025-10-22 22:33:39,41,person,0.56,4
2025-10-22 22:33:39,41,motorcycle,0.53,4
2025-10-22 22:33:39,41,person,0.51,5
2025-10-22 22:33:39,41,person,0.51,6
2025-10-22 22:33:39,41,person,0.51,7
2025-10-22 22:33:39,41,person,0.46,8
2025-10-22 22:33:39,41,handbag,0.45,8
2025-10-22 22:33:39,41,bicycle,0.41,8
2025-10-22 22:33:39,41,person,0.41,9
2025-10-22 22:33:39,42,person,0.84,1
2025-10-22 22:33:39,42,person,0.69,2
2025-10-22 22:33:39,42,person,0.55,3
2025-10-22 22:33:39,42,person,0.52,4
2025-10-22 22:33:39,42,person,0.50,5
2025-10-22 22:33:39,42,motorcycle,0.50,5
2025-10-22 22:33:39,42,motorcycle,0.49,5
2025-10-22 22:33:39,42,person,0.48,6
2025-10-22 22:33:39,42,person,0.47,7
2025-10-22 22:33:39,42,handbag,0.42,7
2025-10-22 22:33:39,42,person,0.41,8
2025-10-22 22:33:39,43,person,0.85,1
2025-10-22 22:33:39,43,person,0.69,2
2025-10-22 22:33:39,43,motorcycle,0.69,2
2025-10-22 22:33:39,43,person,0.55,3
2025-10-22 22:33:39,43,person,0.51,4
2025-10-22 22:33:39,43,person,0.50,5
2025-10-22 22:33:39,43,person,0.47,6
2025-10-22 22:33:39,43,motorcycle,0.47,6
2025-10-22 22:33:39,43,handbag,0.42,6
2025-10-22 22:33:39,44,person,0.83,1
2025-10-22 22:33:39,44,motorcycle,0.76,1
2025-10-22 22:33:39,44,person,0.69,2
2025-10-22 22:33:39,44,person,0.49,3
2025-10-22 22:33:39,44,person,0.49,4
2025-10-22 22:33:39,44,person,0.49,5
2025-10-22 22:33:39,44,person,0.46,6
2025-10-22 22:33:39,44,person,0.41,7
2025-10-22 22:33:39,44,person,0.40,8
2025-10-22 22:33:40,45,person,0.86,1
2025-10-22 22:33:40,45,motorcycle,0.76,1
2025-10-22 22:33:40,45,person,0.68,2
2025-10-22 22:33:40,45,person,0.50,3
2025-10-22 22:33:40,45,person,0.49,4
2025-10-22 22:33:40,45,person,0.47,5
2025-10-22 22:33:40,45,motorcycle,0.43,5
2025-10-22 22:33:40,45,person,0.43,6
2025-10-22 22:33:40,45,person,0.41,7
2025-10-22 22:33:40,46,person,0.86,1
2025-10-22 22:33:40,46,motorcycle,0.76,1
2025-10-22 22:33:40,46,person,0.69,2
2025-10-22 22:33:40,46,person,0.46,3
2025-10-22 22:33:40,46,person,0.45,4
2025-10-22 22:33:40,46,person,0.45,5
2025-10-22 22:33:40,46,person,0.45,6
2025-10-22 22:33:40,46,person,0.45,7
2025-10-22 22:33:40,46,person,0.43,8
2025-10-22 22:33:40,46,bicycle,0.42,8
2025-10-22 22:33:40,46,person,0.41,9
2025-10-22 22:33:40,46,motorcycle,0.41,9
2025-10-22 22:33:40,47,person,0.85,1
2025-10-22 22:33:40,47,motorcycle,0.77,1
2025-10-22 22:33:40,47,person,0.69,2
2025-10-22 22:33:40,47,person,0.51,3
2025-10-22 22:33:40,47,person,0.48,4
2025-10-22 22:33:40,47,motorcycle,0.47,4
2025-10-22 22:33:40,47,person,0.47,5
2025-10-22 22:33:40,47,person,0.44,6
2025-10-22 22:33:40,47,handbag,0.43,6
2025-10-22 22:33:40,47,person,0.43,7
2025-10-22 22:33:40,48,person,0.83,1
2025-10-22 22:33:40,48,motorcycle,0.71,1
2025-10-22 22:33:40,48,person,0.70,2
2025-10-22 22:33:40,48,motorcycle,0.60,2
2025-10-22 22:33:40,48,person,0.48,3
2025-10-22 22:33:40,48,handbag,0.44,3
2025-10-22 22:33:40,48,person,0.42,4
2025-10-22 22:33:40,48,person,0.41,5
2025-10-22 22:33:40,48,person,0.40,6
2025-10-22 22:33:40,49,person,0.82,1
2025-10-22 22:33:40,49,person,0.67,2
2025-10-22 22:33:40,49,motorcycle,0.65,2
2025-10-22 22:33:40,49,person,0.53,3
2025-10-22 22:33:40,49,person,0.48,4
2025-10-22 22:33:40,49,person,0.48,5
2025-10-22 22:33:40,49,person,0.47,6
2025-10-22 22:33:40,49,motorcycle,0.47,6
2025-10-22 22:33:40,49,person,0.41,7
2025-10-22 22:33:40,49,handbag,0.40,7
2025-10-22 22:33:40,50,person,0.83,1
2025-10-22 22:33:40,50,motorcycle,0.83,1
2025-10-22 22:33:40,50,person,0.73,2
2025-10-22 22:33:40,50,person,0.53,3
2025-10-22 22:33:40,50,person,0.52,4
2025-10-22 22:33:40,50,motorcycle,0.45,4
2025-10-22 22:33:40,50,person,0.42,5
2025-10-22 22:33:40,50,person,0.41,6
2025-10-22 22:33:40,51,person,0.84,1
2025-10-22 22:33:40,51,motorcycle,0.79,1
2025-10-22 22:33:40,51,person,0.66,2
2025-10-22 22:33:40,51,person,0.51,3
2025-10-22 22:33:40,51,person,0.50,4
2025-10-22 22:33:40,51,person,0.49,5
2025-10-22 22:33:40,51,person,0.49,6
2025-10-22 22:33:40,51,person,0.49,7
2025-10-22 22:33:40,51,person,0.48,8
2025-10-22 22:33:40,51,person,0.47,9
2025-10-22 22:33:40,51,motorcycle,0.41,9
2025-10-22 22:33:40,52,person,0.86,1
2025-10-22 22:33:40,52,motorcycle,0.80,1
2025-10-22 22:33:40,52,person,0.63,2
2025-10-22 22:33:40,52,motorcycle,0.62,2
2025-10-22 22:33:40,52,person,0.53,3
2025-10-22 22:33:40,52,person,0.52,4
2025-10-22 22:33:40,52,person,0.50,5
2025-10-22 22:33:40,52,person,0.49,6
2025-10-22 22:33:40,52,person,0.48,7
2025-10-22 22:33:41,53,person,0.86,1
2025-10-22 22:33:41,53,person,0.71,2
2025-10-22 22:33:41,53,motorcycle,0.68,2
2025-10-22 22:33:41,53,person,0.62,3
2025-10-22 22:33:41,53,person,0.55,4
2025-10-22 22:33:41,53,person,0.54,5
2025-10-22 22:33:41,53,motorcycle,0.52,5
2025-10-22 22:33:41,53,person,0.52,6
2025-10-22 22:33:41,53,person,0.47,7
2025-10-22 22:33:41,53,person,0.45,8
2025-10-22 22:33:41,53,person,0.42,9
2025-10-22 22:33:41,54,person,0.85,1
2025-10-22 22:33:41,54,motorcycle,0.77,1
2025-10-22 22:33:41,54,person,0.68,2
2025-10-22 22:33:41,54,person,0.66,3
2025-10-22 22:33:41,54,person,0.61,4
2025-10-22 22:33:41,54,person,0.50,5
2025-10-22 22:33:41,54,person,0.49,6
2025-10-22 22:33:41,54,motorcycle,0.48,6
2025-10-22 22:33:41,54,motorcycle,0.46,6
2025-10-22 22:33:41,54,person,0.44,7
2025-10-22 22:33:41,54,person,0.43,8
2025-10-22 22:33:41,54,person,0.40,9
2025-10-22 22:33:41,55,person,0.87,1
2025-10-22 22:33:41,55,motorcycle,0.77,1
2025-10-22 22:33:41,55,person,0.66,2
2025-10-22 22:33:41,55,person,0.65,3
2025-10-22 22:33:41,55,person,0.63,4
2025-10-22 22:33:41,55,motorcycle,0.57,4
2025-10-22 22:33:41,55,person,0.44,5
2025-10-22 22:33:41,56,person,0.85,1
2025-10-22 22:33:41,56,motorcycle,0.82,1
2025-10-22 22:33:41,56,person,0.68,2
2025-10-22 22:33:41,56,person,0.64,3
2025-10-22 22:33:41,56,person,0.60,4
2025-10-22 22:33:41,56,person,0.59,5
2025-10-22 22:33:41,56,motorcycle,0.51,5
2025-10-22 22:33:41,56,person,0.48,6
2025-10-22 22:33:41,56,person,0.43,7
2025-10-22 22:33:41,56,person,0.42,8
2025-10-22 22:33:41,57,person,0.85,1
2025-10-22 22:33:41,57,person,0.76,2
2025-10-22 22:33:41,57,motorcycle,0.74,2
2025-10-22 22:33:41,57,person,0.69,3
2025-10-22 22:33:41,57,motorcycle,0.55,3
2025-10-22 22:33:41,57,person,0.53,4
2025-10-22 22:33:41,57,person,0.52,5
2025-10-22 22:33:41,57,person,0.46,6
2025-10-22 22:33:41,57,person,0.43,7
2025-10-22 22:33:41,57,bicycle,0.43,7
2025-10-22 22:33:41,58,person,0.84,1
2025-10-22 22:33:41,58,motorcycle,0.73,1
2025-10-22 22:33:41,58,person,0.61,2
